,datetime,계절,사고시간,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수,부상자,최소공사비
40,2019-07-17,여름,13:30,13,90% 이상,맑음,건축/건축물/기타,목공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
41,2019-07-17,여름,14:30,14,60~69%,흐림,건축/건축물/창고시설,가설공사,300억 ~ 500억원 미만,100~299인,1,300억 
42,2019-07-18,여름,11:00,11,50~59%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
43,2019-07-18,여름,17:30,17,50~59%,맑음,건축/건축물/공동주택,전기설비공사,"1,000만 ~ 2,000만원 미만",100~299인,1,"1,000만 "
44,2019-07-19,여름,9:50,9,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
45,2019-07-19,여름,11:00,11,90% 이상,맑음,건축/건축물/창고시설,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
46,2019-07-19,여름,11:20,11,20~29%,맑음,건축/건축물/교육연구시설,가설공사,분류불능,100~299인,1,분류불능
47,2019-07-19,여름,12:10,12,50~59%,맑음,토목/상하수도/상수도,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
48,2019-07-20,여름,9:30,9,80~89%,강우,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
49,2019-07-20,여름,10:00,10,80~89%,흐림,건축/건축물/공동주택,타일 및 돌공사,100억 ~ 150억원 미만,100~299인,1,100억 
50,2019-07-20,여름,10:31,10,30~39%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
51,2019-07-21,여름,14:30,14,30~39%,흐림,건축/건축물/공장,철골공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
52,2019-07-22,여름,7:50,7,30~39%,안개,건축/건축물/교육연구시설,기타,100억 ~ 150억원 미만,100~299인,1,100억 
53,2019-07-22,여름,10:00,10,50~59%,흐림,건축/건축물/종교시설,철근콘크리트공사,50억 ~ 100억원 미만,100~299인,1,50억 
54,2019-07-22,여름,10:00,10,90% 이상,맑음,토목/교량/도로교량,교량공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
55,2019-07-22,여름,10:00,10,80~89%,흐림,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
56,2019-07-22,여름,14:50,14,90% 이상,맑음,산업환경설비/환경시설/수처리설비시설,전기설비공사,300억 ~ 500억원 미만,100~299인,1,300억 
57,2019-07-22,여름,15:30,15,60~69%,맑음,건축/건축물/의료시설,타일 및 돌공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
58,2019-07-23,여름,11:25,11,80~89%,흐림,건축/건축물/공동주택,도장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
59,2019-07-23,여름,14:00,14,70~79%,안개,토목/교량/철도교량,교량공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
60,2019-07-23,여름,17:30,17,40~49%,맑음,토목/터널/철도터널,터널공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
61,2019-07-24,여름,9:40,9,40~49%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
62,2019-07-24,여름,10:10,10,30~39%,흐림,건축/건축물/공장,해체 및 철거공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
63,2019-07-24,여름,10:48,10,20~29%,흐림,산업환경설비/발전시설,전기설비공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
64,2019-07-24,여름,11:00,11,60~69%,흐림,건축/건축물/업무시설,도장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
65,2019-07-24,여름,15:00,15,40~49%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
66,2019-07-24,여름,15:00,15,90% 이상,맑음,건축/건축물/교육연구시설,기타,3억 ~ 5억원 미만,100~299인,1,3억 
67,2019-07-25,여름,7:35,7,20~29%,흐림,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
68,2019-07-26,여름,12:00,12,30~39%,강우,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
69,2019-07-26,여름,16:00,16,90% 이상,강우,건축/건축물/교육연구시설,도장공사,20억 ~ 50억원 미만,100~299인,1,20억 
70,2019-07-26,여름,16:00,16,60~69%,강우,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
71,2019-07-30,여름,9:00,9,30~39%,맑음,건축/건축물/공장,미장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
72,2019-07-30,여름,11:24,11,90% 이상,맑음,건축/건축물/공장,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
73,2019-07-30,여름,13:30,13,70~79%,강우,건축/건축물/공동주택,수장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
74,2019-07-31,여름,10:00,10,90% 이상,강우,건축/건축물/공동주택,수장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
75,2019-08-01,여름,7:40,7,40~49%,흐림,건축/건축물/업무시설,전기설비공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
76,2019-08-01,여름,8:40,8,10% 미만,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
78,2019-08-02,여름,12:30,12,70~79%,맑음,토목/기타/부지조성,토공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
79,2019-08-02,여름,12:30,12,50~59%,맑음,건축/건축물/업무시설,철근콘크리트공사,20억 ~ 50억원 미만,100~299인,1,20억 
80,2019-08-02,여름,13:20,13,50~59%,맑음,건축/건축물/교육연구시설,기타,100억 ~ 150억원 미만,100~299인,1,100억 
81,2019-08-02,여름,14:15,14,50~59%,맑음,건축/건축물/공동주택,건축 토공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
82,2019-08-03,여름,14:50,14,20~29%,맑음,건축/건축물/공동주택,해체 및 철거공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
83,2019-08-03,여름,16:35,16,80~89%,맑음,토목/터널/철도터널,해체 및 철거공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
84,2019-08-05,여름,11:00,11,50~59%,맑음,건축/건축물/교육연구시설,건축 토공사,100억 ~ 150억원 미만,100~299인,1,100억 
85,2019-08-06,여름,9:10,9,60~69%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
86,2019-08-06,여름,15:10,15,40~49%,맑음,건축/건축물/공동주택,철골공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
87,2019-08-06,여름,17:00,17,50~59%,맑음,건축/건축물/교육연구시설,기타,100억 ~ 150억원 미만,100~299인,1,100억 
88,2019-08-07,여름,8:31,8,60~69%,강우,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
89,2019-08-09,여름,17:30,17,20~29%,맑음,토목/기타,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
90,2019-08-10,여름,10:50,10,40~49%,맑음,건축/건축물/업무시설,미장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
93,2019-08-11,여름,9:30,9,20~29%,맑음,건축/건축물/창고시설,철근콘크리트공사,"1,000억원 이상",100~299인,2,"1,000억원 이상"
94,2019-08-12,여름,8:10,8,90% 이상,흐림,건축/건축물/기타,수장공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
95,2019-08-12,여름,13:30,13,60~69%,맑음,건축/건축물/공동주택,기타,100억 ~ 150억원 미만,100~299인,1,100억 
96,2019-08-13,여름,7:30,7,10~19%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
97,2019-08-13,여름,10:30,10,80~89%,흐림,건축/건축물/공동주택,도장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
98,2019-08-14,여름,14:00,14,40~49%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
99,2019-08-14,여름,14:00,14,50~59%,맑음,건축/건축물/업무시설,철근콘크리트공사,150억 ~ 200억원 미만,100~299인,1,150억 
100,2019-08-14,여름,14:00,14,70~79%,흐림,건축/건축물/노유자시설,창호 및 유리공사,"4,000만 ~ 1억원 미만",100~299인,1,"4,000만 "
101,2019-08-14,여름,15:00,15,80~89%,맑음,산업환경설비/환경시설/소각장,산업설비공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
102,2019-08-14,여름,16:10,16,10~19%,흐림,건축/건축물/공동주택,해체 및 철거공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
103,2019-08-15,여름,8:00,8,20~29%,맑음,건축/건축물/판매시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
104,2019-08-17,여름,8:20,8,70~79%,흐림,건축/건축물/근린생활시설,수장공사,300억 ~ 500억원 미만,100~299인,1,300억 
105,2019-08-17,여름,11:00,11,80~89%,흐림,건축/건축물/공동주택,도장공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
106,2019-08-17,여름,15:30,15,50~59%,흐림,건축/건축물/근린생활시설,전기설비공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
107,2019-08-17,여름,15:50,15,80~89%,맑음,건축/건축물/공동주택,도장공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
108,2019-08-17,여름,15:50,15,50~59%,흐림,건축/건축물/노유자시설,기타,3억 ~ 5억원 미만,100~299인,1,3억 
109,2019-08-19,여름,7:30,7,20~29%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
111,2019-08-19,여름,10:30,10,60~69%,맑음,건축/건축물/공동주택,건축물 부대공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
112,2019-08-19,여름,10:30,10,80~89%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,100억 ~ 150억원 미만,100~299인,1,100억 
114,2019-08-20,여름,10:20,10,20~29%,맑음,건축/건축물/판매시설,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
116,2019-08-20,여름,15:00,15,80~89%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
117,2019-08-21,여름,8:10,8,40~49%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,200억 ~ 300억원 미만,100~299인,1,200억 
118,2019-08-21,여름,13:10,13,50~59%,맑음,토목/터널/도로터널,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
119,2019-08-23,여름,8:00,8,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
120,2019-08-23,여름,8:00,8,60~69%,맑음,건축/건축물/단독주택,철근콘크리트공사,2억 ~ 3억원 미만,100~299인,1,2억 
121,2019-08-23,여름,15:30,15,30~39%,맑음,건축/건축물/의료시설,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
122,2019-08-24,여름,10:30,10,90% 이상,맑음,건축/건축물/공동주택,타일 및 돌공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
124,2019-08-24,여름,15:50,15,20~29%,맑음,토목/터널/철도터널,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
125,2019-08-25,여름,15:10,15,80~89%,맑음,건축/건축물/교육연구시설,기타,2억 ~ 3억원 미만,100~299인,1,2억 
126,2019-08-25,여름,15:10,15,50~59%,맑음,토목/터널/기타,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
127,2019-08-26,여름,10:30,10,80~89%,흐림,건축/건축물/창고시설,가설공사,20억 ~ 50억원 미만,100~299인,1,20억 
128,2019-08-26,여름,15:00,15,60~69%,맑음,토목/교량/철도교량,교량공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
129,2019-08-26,여름,15:00,15,10% 미만,흐림,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
130,2019-08-27,여름,9:50,9,90% 이상,흐림,건축/건축물/공장,기타,50억 ~ 100억원 미만,100~299인,1,50억 
131,2019-08-28,여름,16:30,16,60~69%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
132,2019-08-28,여름,16:30,16,20~29%,맑음,건축/건축물/공장,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
133,2019-08-29,여름,10:00,10,70~79%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
134,2019-08-29,여름,11:00,11,70~79%,흐림,건축/건축물/공동주택,미장공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
135,2019-08-29,여름,11:30,11,40~49%,맑음,건축/건축물/공동주택,해체 및 철거공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
136,2019-08-30,여름,10:30,10,20~29%,맑음,건축/건축물/공동주택,철근콘크리트공사,"4,000만 ~ 1억원 미만",100~299인,1,"4,000만 "
137,2019-08-30,여름,16:25,16,80~89%,흐림,건축/건축물/공동주택,타일 및 돌공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
138,2019-08-31,여름,14:00,14,30~39%,맑음,건축/건축물/교육연구시설,기타,200억 ~ 300억원 미만,100~299인,1,200억 
139,2019-09-02,가을,10:00,10,60~69%,맑음,건축/건축물/공동주택,방수공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
140,2019-09-03,가을,8:30,8,20~29%,맑음,건축/건축물/기타,철근콘크리트공사,150억 ~ 200억원 미만,100~299인,1,150억 
141,2019-09-03,가을,9:40,9,10~19%,흐림,건축/건축물/공동주택,철근콘크리트공사,300억 ~ 500억원 미만,100~299인,1,300억 
142,2019-09-03,가을,11:30,11,90% 이상,맑음,건축/건축물/문화 및 집회시설,전기설비공사,300억 ~ 500억원 미만,100~299인,1,300억 
143,2019-09-04,가을,8:30,8,60~69%,흐림,토목/터널/도로터널,터널공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
144,2019-09-04,가을,10:40,10,70~79%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
145,2019-09-04,가을,15:30,15,50~59%,맑음,건축/건축물/업무시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
146,2019-09-05,가을,10:35,10,90% 이상,흐림,건축/건축물/업무시설,전기설비공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
147,2019-09-05,가을,14:00,14,90% 이상,강우,산업환경설비/환경시설/하수처리시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
148,2019-09-05,가을,14:00,14,30~39%,흐림,건축/건축물/공장,기타,150억 ~ 200억원 미만,100~299인,1,150억 
149,2019-09-05,가을,15:50,15,10~19%,맑음,건축/건축물/의료시설,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
150,2019-09-06,가을,9:34,9,50~59%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
151,2019-09-06,가을,12:32,12,80~89%,강우,토목/기타,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
152,2019-09-07,가을,7:30,7,70~79%,강우,건축/건축물/공동주택,도장공사,분류불능,100~299인,1,분류불능
153,2019-09-07,가을,15:00,15,30~39%,강풍,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
154,2019-09-08,가을,10:30,10,90% 이상,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
155,2019-09-09,가을,7:50,7,40~49%,강우,건축/건축물/공동주택,전기설비공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
156,2019-09-09,가을,11:40,11,20~29%,흐림,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
157,2019-09-09,가을,14:40,14,10~19%,맑음,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
158,2019-09-09,가을,15:30,15,20~29%,강우,건축/건축물/공동주택,철근콘크리트공사,300억 ~ 500억원 미만,100~299인,1,300억 
159,2019-09-10,가을,11:30,11,20~29%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
160,2019-09-10,가을,13:30,13,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
161,2019-09-11,가을,14:35,14,20~29%,흐림,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
162,2019-09-16,가을,13:30,13,80~89%,맑음,건축/건축물/공동주택,도장공사,300억 ~ 500억원 미만,100~299인,1,300억 
164,2019-09-17,가을,10:00,10,30~39%,맑음,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
165,2019-09-17,가을,10:50,10,80~89%,맑음,건축/건축물/의료시설,철골공사,100억 ~ 150억원 미만,100~299인,1,100억 
166,2019-09-17,가을,11:20,11,50~59%,맑음,건축/건축물/교육연구시설,건축 토공사,100억 ~ 150억원 미만,100~299인,1,100억 
167,2019-09-17,가을,11:20,11,30~39%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,100억 ~ 150억원 미만,100~299인,1,100억 
168,2019-09-17,가을,16:00,16,30~39%,맑음,건축/건축물/공동주택,목공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
169,2019-09-18,가을,10:00,10,90% 이상,맑음,건축/건축물/교정 및 군사시설,건축물 부대공사,20억 ~ 50억원 미만,100~299인,1,20억 
170,2019-09-18,가을,10:00,10,50~59%,맑음,토목/교량/철도교량,교량공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
171,2019-09-18,가을,10:00,10,70~79%,맑음,건축/건축물/공동주택,건축 토공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
172,2019-09-18,가을,14:10,14,10~19%,맑음,건축/건축물/공장,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
173,2019-09-19,가을,10:00,10,10% 미만,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
174,2019-09-19,가을,10:00,10,40~49%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
175,2019-09-20,가을,10:45,10,70~79%,맑음,건축/건축물/의료시설,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
176,2019-09-23,가을,7:55,7,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
177,2019-09-24,가을,8:00,8,30~39%,흐림,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
178,2019-09-24,가을,10:30,10,60~69%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
179,2019-09-24,가을,10:30,10,70~79%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,2,"1,000억원 이상"
180,2019-09-24,가을,13:20,13,10% 미만,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
181,2019-09-24,가을,14:35,14,10% 미만,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000만 ~ 2,000만원 미만",100~299인,1,"1,000만 "
182,2019-09-25,가을,7:10,7,60~69%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
183,2019-09-25,가을,11:00,11,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
184,2019-09-25,가을,11:00,11,10~19%,맑음,건축/건축물/자동차 관련시설,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
185,2019-09-25,가을,14:20,14,10% 미만,맑음,건축/건축물/공동주택,건축 토공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
186,2019-09-25,가을,16:30,16,30~39%,맑음,산업환경설비/환경시설/소각장,해체 및 철거공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
187,2019-09-26,가을,8:30,8,80~89%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",100~299인,1,500억 
188,2019-09-26,가을,8:50,8,80~89%,맑음,건축/건축물/창고시설,기타,200억 ~ 300억원 미만,100~299인,1,200억 
189,2019-09-26,가을,11:20,11,10% 미만,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
190,2019-09-26,가을,13:30,13,20~29%,맑음,건축/건축물/교정 및 군사시설,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
191,2019-09-26,가을,14:40,14,20~29%,맑음,건축/건축물/공동주택,기타,300억 ~ 500억원 미만,100~299인,1,300억 
192,2019-09-26,가을,15:20,15,90% 이상,흐림,건축/건축물/공장,전기설비공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
193,2019-09-27,가을,8:00,8,80~89%,맑음,건축/건축물/업무시설,수장공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
194,2019-09-27,가을,10:40,10,20~29%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
195,2019-09-28,가을,9:05,9,30~39%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
196,2019-09-28,가을,13:20,13,60~69%,맑음,토목/기타/부지조성,토공사,200억 ~ 300억원 미만,100~299인,1,200억 
197,2019-09-28,가을,15:50,15,90% 이상,맑음,산업환경설비/환경시설/소각장,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
198,2019-09-28,가을,16:20,16,70~79%,맑음,건축/건축물/창고시설,철골공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
199,2019-09-29,가을,14:30,14,30~39%,맑음,건축/건축물/공장,철골공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
200,2019-09-30,가을,8:00,8,60~69%,안개,건축/건축물/업무시설,가설공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
201,2019-10-01,가을,10:00,10,80~89%,흐림,건축/건축물/업무시설,전기설비공사,"500억 ~ 1,000억원 미만",100~299인,1,500억 
202,2019-10-01,가을,11:30,11,60~69%,맑음,건축/건축물/업무시설,기타,"1,000억원 이상",100~299인,1,"1,000억원 이상"
203,2019-10-01,가을,13:40,13,10% 미만,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
204,2019-10-01,가을,15:30,15,30~39%,맑음,건축/건축물/공동주택,해체 및 철거공사,"1,000억원 이상",100~299인,1,"1,000억원 이상"
