계절,hour,공정율,날씨,공사종류,공종(소분류),공사비,작업자수
여름,15,10~19%,흐림,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인
여름,18,70~79%,흐림,건축/건축물/공장,전기설비공사,"1,000억원 이상",100~299인
여름,14,80~89%,맑음,건축/건축물/공동주택,수장공사,"500억 ~ 1,000억원 미만",100~299인
가을,11,20~29%,흐림,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인
가을,9,20~29%,흐림,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",100~299인
가을,16,20~29%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,100억 ~ 150억원 미만,100~299인
가을,13,30~39%,맑음,건축/건축물/공장,철골공사,"500억 ~ 1,000억원 미만",100~299인
가을,14,80~89%,맑음,건축/건축물/공동주택,수장공사,"1,000억원 이상",100~299인
가을,11,20~29%,맑음,건축/건축물/공동주택,전기설비공사,"1,000억원 이상",100~299인
가을,10,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000만 ~ 2,000만원 미만",100~299인
가을,16,80~89%,맑음,토목/터널/도로터널,해체 및 철거공사,"1,000억원 이상",100~299인
가을,14,60~69%,맑음,건축/건축물/업무시설,기계설비공사,"500억 ~ 1,000억원 미만",100~299인
가을,8,50~59%,맑음,건축/건축물/공장,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인
가을,15,80~89%,흐림,조경/기타,기타,100억 ~ 150억원 미만,100~299인
겨울,10,40~49%,맑음,건축/건축물/공동주택,철근콘크리트공사,"500억 ~ 1,000억원 미만",100~299인
nan,8,10~19%,맑음,건축/건축물/공장,철근콘크리트공사,"1,000억원 이상",100~299인
nan,15,90% 이상,맑음,건축/건축물/공동주택,철근콘크리트공사,150억 ~ 200억원 미만,100~299인
nan,16,10~19%,맑음,건축/건축물/공동주택,토공사,"1,000억원 이상",100~299인
nan,17,10~19%,맑음,건축/건축물/업무시설,철근콘크리트공사,"1,000억원 이상",100~299인
봄,10,60~69%,맑음,건축/건축물/공동주택,철근콘크리트공사,300억 ~ 500억원 미만,100~299인
봄,13,50~59%,맑음,건축/건축물/업무시설,수장공사,300억 ~ 500억원 미만,100~299인
봄,13,90% 이상,흐림,건축/건축물/공동주택,타일 및 돌공사,300억 ~ 500억원 미만,100~299인
봄,13,40~49%,맑음,건축/건축물/공동주택,타일 및 돌공사,"1,000억원 이상",100~299인
봄,9,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",100~299인
봄,15,80~89%,맑음,토목/도로/기타,토공사,"1,000억원 이상",100~299인
여름,7,90% 이상,맑음,건축/건축물/근린생활시설,해체 및 철거공사,"2,000만 ~ 4,000만원 미만",19인 이하
여름,11,90% 이상,맑음,건축/건축물/근린생활시설,철근콘크리트공사,"2,000만 ~ 4,000만원 미만",19인 이하
여름,8,30~39%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",19인 이하
여름,11,70~79%,흐림,건축/건축물/창고시설,전기설비공사,20억 ~ 50억원 미만,19인 이하
여름,13,70~79%,맑음,건축/건축물/공장,기타,50억 ~ 100억원 미만,19인 이하
여름,14,90% 이상,맑음,토목/도로/도로,도로 및 포장공사,3억 ~ 5억원 미만,19인 이하
여름,14,70~79%,맑음,건축/건축물/창고시설,해체 및 철거공사,3억 ~ 5억원 미만,19인 이하
여름,11,20~29%,맑음,건축/건축물/교육연구시설,철골공사,50억 ~ 100억원 미만,19인 이하
여름,13,90% 이상,흐림,건축/건축물/업무시설,창호 및 유리공사,50억 ~ 100억원 미만,19인 이하
여름,7,90% 이상,흐림,토목/상하수도/상수도,토공사,20억 ~ 50억원 미만,19인 이하
여름,11,40~49%,맑음,건축/건축물/자동차 관련시설,철골공사,5억 ~ 10억원 미만,19인 이하
여름,10,10~19%,맑음,건축/건축물/공동주택,기타,"500억 ~ 1,000억원 미만",19인 이하
여름,12,80~89%,맑음,토목/도로/도로,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하
여름,15,60~69%,흐림,건축/건축물/단독주택,기타,5억 ~ 10억원 미만,19인 이하
여름,10,70~79%,맑음,건축/건축물/근린생활시설,창호 및 유리공사,3억 ~ 5억원 미만,19인 이하
여름,16,40~49%,흐림,건축/건축물/공동주택,기타,"1,000억원 이상",19인 이하
여름,2,40~49%,맑음,토목/상하수도/상수도,관공사,"1,000억원 이상",19인 이하
가을,11,90% 이상,강우,토목/터널/철도터널,기타,"1,000억원 이상",19인 이하
가을,11,60~69%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",19인 이하
가을,13,70~79%,맑음,건축/건축물/교육연구시설,창호 및 유리공사,5억 ~ 10억원 미만,19인 이하
가을,9,90% 이상,맑음,토목/상하수도/하수도,관공사,200억 ~ 300억원 미만,19인 이하
가을,15,80~89%,맑음,건축/건축물/교육연구시설,기타,3억 ~ 5억원 미만,19인 이하
가을,15,20~29%,맑음,건축/건축물/근린생활시설,가설공사,20억 ~ 50억원 미만,19인 이하
가을,15,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,100억 ~ 150억원 미만,19인 이하
가을,16,40~49%,맑음,토목/도로/도로,가설공사,10억 ~ 20억원 미만,19인 이하
가을,14,30~39%,맑음,건축/건축물/공장,철골공사,5억 ~ 10억원 미만,19인 이하
가을,7,70~79%,맑음,건축/건축물/교육연구시설,미장공사,5억 ~ 10억원 미만,19인 이하
가을,9,60~69%,맑음,토목/댐/기타,해체 및 철거공사,"1,000억원 이상",19인 이하
가을,15,70~79%,맑음,건축/건축물/근린생활시설,건축 토공사,1억 ~ 2억원 미만,19인 이하
가을,14,80~89%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하
가을,13,50~59%,맑음,건축/건축물/기타,기타,50억 ~ 100억원 미만,19인 이하
가을,14,10% 미만,맑음,토목/도로/도로,교량공사,"1,000억원 이상",19인 이하
가을,10,50~59%,맑음,건축/건축물/기타,해체 및 철거공사,10억 ~ 20억원 미만,19인 이하
가을,12,50~59%,안개,토목/교량/도로교량,교량공사,20억 ~ 50억원 미만,19인 이하
가을,10,80~89%,맑음,건축/건축물/업무시설,타일 및 돌공사,"500억 ~ 1,000억원 미만",19인 이하
겨울,11,80~89%,맑음,건축/건축물/의료시설,철골공사,50억 ~ 100억원 미만,19인 이하
겨울,15,90% 이상,맑음,토목/도로/도로,도로 및 포장공사,5억 ~ 10억원 미만,19인 이하
겨울,16,30~39%,흐림,건축/건축물/근린생활시설,건축 토공사,10억 ~ 20억원 미만,19인 이하
겨울,10,10~19%,맑음,건축/건축물/위험물 저장 및 처리시설,건축 토공사,5억 ~ 10억원 미만,19인 이하
겨울,7,60~69%,맑음,건축/건축물/근린생활시설,기타,1억 ~ 2억원 미만,19인 이하
nan,17,90% 이상,흐림,토목/터널/철도터널,터널공사,"1,000억원 이상",19인 이하
nan,11,70~79%,맑음,건축/건축물/공장,수장공사,20억 ~ 50억원 미만,19인 이하
nan,16,10% 미만,맑음,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",19인 이하
nan,14,20~29%,맑음,건축/건축물/교육연구시설,가설공사,50억 ~ 100억원 미만,19인 이하
nan,15,50~59%,맑음,건축/건축물/근린생활시설,해체 및 철거공사,"2,000만 ~ 4,000만원 미만",19인 이하
nan,16,40~49%,맑음,토목/도로/도로,토공사,"500억 ~ 1,000억원 미만",19인 이하
nan,14,20~29%,맑음,건축/건축물/교육연구시설,해체 및 철거공사,"4,000만 ~ 1억원 미만",19인 이하
nan,16,60~69%,흐림,건축/건축물/기타,기타,"4,000만 ~ 1억원 미만",19인 이하
nan,15,10% 미만,맑음,토목/도로/도로,가설공사,5억 ~ 10억원 미만,19인 이하
봄,8,10% 미만,맑음,건축/건축물/업무시설,기타,10억 ~ 20억원 미만,19인 이하
봄,14,30~39%,맑음,건축/건축물/자동차 관련시설,전기설비공사,20억 ~ 50억원 미만,19인 이하
봄,15,90% 이상,맑음,건축/건축물/근린생활시설,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하
봄,11,60~69%,맑음,건축/건축물/교육연구시설,기타,20억 ~ 50억원 미만,19인 이하
봄,9,90% 이상,흐림,건축/건축물/공동주택,건축물 부대공사,50억 ~ 100억원 미만,19인 이하
봄,8,10% 미만,맑음,건축/건축물/단독주택,기타,"1,000만 ~ 2,000만원 미만",19인 이하
봄,15,30~39%,맑음,조경/기타,기타,100억 ~ 150억원 미만,19인 이하
봄,16,10~19%,맑음,토목/상하수도/기타,철근콘크리트공사,1억 ~ 2억원 미만,19인 이하
봄,10,50~59%,맑음,토목/상하수도/상수도,기타,20억 ~ 50억원 미만,19인 이하
봄,10,70~79%,맑음,건축/건축물/근린생활시설,건축물 부대공사,100억 ~ 150억원 미만,19인 이하
봄,10,30~39%,맑음,토목/하천/기타,하천공사,20억 ~ 50억원 미만,19인 이하
봄,8,70~79%,맑음,토목/상하수도/기타,철근콘크리트공사,20억 ~ 50억원 미만,19인 이하
봄,14,50~59%,맑음,건축/건축물/기타,지붕 및 홈통공사,"500억 ~ 1,000억원 미만",19인 이하
봄,15,40~49%,맑음,토목/교량/도로교량,철근콘크리트공사,300억 ~ 500억원 미만,19인 이하
여름,10,30~39%,맑음,토목/상하수도/하수도,관공사,100억 ~ 150억원 미만,19인 이하
여름,9,20~29%,맑음,건축/건축물/교정 및 군사시설,해체 및 철거공사,10억 ~ 20억원 미만,19인 이하
여름,15,10% 미만,맑음,건축/건축물/근린생활시설,건축 토공사,300억 ~ 500억원 미만,19인 이하
여름,10,10% 미만,맑음,건축/건축물/공동주택,기타,300억 ~ 500억원 미만,19인 이하
여름,11,30~39%,맑음,건축/건축물/교육연구시설,조적공사,3억 ~ 5억원 미만,19인 이하
여름,15,90% 이상,맑음,건축/건축물/단독주택,해체 및 철거공사,"1,000만원 미만",19인 이하
여름,9,50~59%,흐림,토목/도로/기타,강구조물공사,50억 ~ 100억원 미만,19인 이하
여름,9,70~79%,흐림,건축/건축물/공동주택,철근콘크리트공사,5억 ~ 10억원 미만,19인 이하
여름,15,20~29%,흐림,건축/건축물/공동주택,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하
여름,15,70~79%,맑음,토목/옹벽 및 절토사면/절토사면,지반개량공사,5억 ~ 10억원 미만,19인 이하
여름,15,90% 이상,맑음,토목/도로/도로,교량공사,"1,000억원 이상",19인 이하
여름,7,20~29%,맑음,토목/도로/도로,강구조물공사,2억 ~ 3억원 미만,19인 이하
가을,16,30~39%,맑음,건축/건축물/교정 및 군사시설,목공사,10억 ~ 20억원 미만,19인 이하
가을,10,90% 이상,흐림,토목/상하수도/하수도,관공사 부대공사,3억 ~ 5억원 미만,19인 이하
가을,14,50~59%,맑음,토목/기타,관공사,100억 ~ 150억원 미만,19인 이하
가을,15,10% 미만,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",19인 이하
가을,14,40~49%,맑음,건축/건축물/문화 및 집회시설,가설공사,"1,000억원 이상",19인 이하
가을,8,50~59%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",19인 이하
가을,16,20~29%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하
가을,9,10~19%,맑음,토목/도로/도로,교량공사,"1,000억원 이상",19인 이하
가을,14,30~39%,맑음,조경/기타,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하
가을,10,80~89%,맑음,건축/건축물/근린생활시설,조적공사,3억 ~ 5억원 미만,19인 이하
가을,11,40~49%,흐림,건축/건축물/공장,토공사,50억 ~ 100억원 미만,19인 이하
가을,14,80~89%,맑음,토목/상하수도/상수도,토공사,10억 ~ 20억원 미만,19인 이하
가을,10,90% 이상,맑음,건축/건축물/자동차 관련시설,건축물 부대공사,20억 ~ 50억원 미만,19인 이하
가을,18,30~39%,맑음,토목/터널/도로터널,터널공사,200억 ~ 300억원 미만,19인 이하
가을,15,20~29%,맑음,토목/기타,기타,20억 ~ 50억원 미만,19인 이하
겨울,15,60~69%,맑음,건축/건축물/교육연구시설,미장공사,5억 ~ 10억원 미만,19인 이하
겨울,15,10% 미만,맑음,건축/건축물/기타,가설공사,1억 ~ 2억원 미만,19인 이하
겨울,11,90% 이상,맑음,건축/건축물/단독주택,방수공사,5억 ~ 10억원 미만,19인 이하
겨울,14,40~49%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하
겨울,9,80~89%,흐림,토목/기타/부지조성,지반조사,"500억 ~ 1,000억원 미만",19인 이하
겨울,9,30~39%,맑음,토목/항만/호안,항만공사,300억 ~ 500억원 미만,19인 이하
겨울,16,70~79%,흐림,건축/건축물/단독주택,수장공사,50억 ~ 100억원 미만,19인 이하
겨울,12,90% 이상,맑음,건축/건축물/공장,산업설비공사,"1,000억원 이상",19인 이하
겨울,11,70~79%,맑음,토목/터널/지하차도,해체 및 철거공사,50억 ~ 100억원 미만,19인 이하
겨울,11,10% 미만,맑음,토목/기타/부지조성,가설공사,300억 ~ 500억원 미만,19인 이하
nan,10,10% 미만,맑음,토목/기타/부지조성,토공사,50억 ~ 100억원 미만,19인 이하
nan,11,30~39%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,50억 ~ 100억원 미만,19인 이하
nan,11,60~69%,맑음,건축/건축물/문화 및 집회시설,철근콘크리트공사,50억 ~ 100억원 미만,19인 이하
nan,10,40~49%,강설,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",19인 이하
nan,16,20~29%,맑음,조경/공원,조경공사,3억 ~ 5억원 미만,19인 이하
nan,11,30~39%,맑음,건축/건축물/자동차 관련시설,가설공사,50억 ~ 100억원 미만,19인 이하
nan,10,50~59%,흐림,건축/건축물/교육연구시설,철근콘크리트공사,10억 ~ 20억원 미만,19인 이하
nan,11,10% 미만,맑음,토목/상하수도/하수도,관공사,50억 ~ 100억원 미만,19인 이하
nan,12,40~49%,맑음,건축/건축물/동물 및 식물 관련시설,지붕 및 홈통공사,분류불능,19인 이하
nan,16,50~59%,맑음,건축/건축물/공동주택,미장공사,3억 ~ 5억원 미만,19인 이하
nan,8,10~19%,맑음,건축/건축물/업무시설,철골공사,300억 ~ 500억원 미만,19인 이하
봄,15,80~89%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,3억 ~ 5억원 미만,19인 이하
봄,9,10% 미만,맑음,건축/건축물/문화 및 집회시설,토공사,50억 ~ 100억원 미만,19인 이하
봄,9,10% 미만,흐림,건축/건축물/운동시설,건축 토공사,100억 ~ 150억원 미만,19인 이하
봄,15,10~19%,맑음,건축/건축물/업무시설,철근콘크리트공사,50억 ~ 100억원 미만,19인 이하
여름,14,90% 이상,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",20~49인
여름,13,60~69%,맑음,토목/도로/도로,토공사,200억 ~ 300억원 미만,20~49인
여름,16,40~49%,맑음,건축/건축물/공장,수장공사,150억 ~ 200억원 미만,20~49인
여름,9,20~29%,맑음,건축/건축물/교육연구시설,해체 및 철거공사,50억 ~ 100억원 미만,20~49인
여름,10,10% 미만,맑음,건축/건축물/공장,해체 및 철거공사,100억 ~ 150억원 미만,20~49인
여름,15,90% 이상,맑음,건축/건축물/근린생활시설,가설공사,20억 ~ 50억원 미만,20~49인
여름,15,10~19%,맑음,토목/터널/도로터널,터널공사,"1,000억원 이상",20~49인
여름,15,70~79%,흐림,조경/공원,기타,50억 ~ 100억원 미만,20~49인
여름,10,10% 미만,맑음,건축/건축물/근린생활시설,건축 토공사,50억 ~ 100억원 미만,20~49인
가을,18,90% 이상,맑음,산업환경설비/환경시설/하수처리시설,기타,"1,000억원 이상",20~49인
가을,9,30~39%,맑음,건축/건축물/업무시설,철근콘크리트공사,20억 ~ 50억원 미만,20~49인
가을,9,70~79%,흐림,건축/건축물/공동주택,미장공사,50억 ~ 100억원 미만,20~49인
가을,8,90% 이상,맑음,건축/건축물/업무시설,기타,20억 ~ 50억원 미만,20~49인
가을,13,70~79%,강우,토목/도로/기타,기타,"1,000억원 이상",20~49인
가을,16,40~49%,강우,건축/건축물/의료시설,가설공사,100억 ~ 150억원 미만,20~49인
가을,15,20~29%,흐림,토목/상하수도/상수도,가설공사,300억 ~ 500억원 미만,20~49인
가을,7,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,50억 ~ 100억원 미만,20~49인
가을,7,80~89%,맑음,건축/건축물/업무시설,기타,"1,000억원 이상",20~49인
가을,14,10~19%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",20~49인
가을,10,30~39%,맑음,건축/건축물/단독주택,기타,1억 ~ 2억원 미만,20~49인
가을,11,60~69%,맑음,건축/건축물/공동주택,기타,200억 ~ 300억원 미만,20~49인
가을,14,80~89%,맑음,건축/건축물/업무시설,가설공사,100억 ~ 150억원 미만,20~49인
가을,11,70~79%,맑음,건축/건축물/공장,전기설비공사,100억 ~ 150억원 미만,20~49인
가을,8,70~79%,맑음,토목/도로/도로,가설공사,100억 ~ 150억원 미만,20~49인
가을,11,60~69%,맑음,토목/상하수도/하수도,가설공사,300억 ~ 500억원 미만,20~49인
가을,11,10% 미만,맑음,건축/건축물/공동주택,기타,50억 ~ 100억원 미만,20~49인
가을,5,60~69%,흐림,토목/상하수도/기타,토공사,200억 ~ 300억원 미만,20~49인
가을,12,70~79%,흐림,토목/기타/부지조성,전기설비공사,"500억 ~ 1,000억원 미만",20~49인
겨울,13,10% 미만,맑음,건축/건축물/공동주택,가설공사,"500억 ~ 1,000억원 미만",20~49인
겨울,14,40~49%,맑음,건축/건축물/교육연구시설,철근콘크리트공사,50억 ~ 100억원 미만,20~49인
겨울,15,10~19%,맑음,건축/건축물/운수시설,기타,50억 ~ 100억원 미만,20~49인
겨울,6,10% 미만,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",20~49인
겨울,11,30~39%,맑음,건축/건축물/업무시설,해체 및 철거공사,300억 ~ 500억원 미만,20~49인
겨울,15,80~89%,강우,건축/건축물/공동주택,방수공사,"1,000억원 이상",20~49인
겨울,10,30~39%,흐림,건축/건축물/공동주택,전기설비공사,"1,000억원 이상",20~49인
nan,10,10~19%,맑음,건축/건축물/공동주택,철근콘크리트공사,200억 ~ 300억원 미만,20~49인
nan,14,50~59%,맑음,토목/도로/도로,가설공사,"500억 ~ 1,000억원 미만",20~49인
nan,6,20~29%,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",20~49인
nan,15,20~29%,맑음,건축/건축물/교육연구시설,전기설비공사,20억 ~ 50억원 미만,20~49인
봄,8,10~19%,맑음,건축/건축물/공동주택,건축 토공사,200억 ~ 300억원 미만,20~49인
봄,9,10~19%,맑음,토목/도로/도로,교량공사,"1,000억원 이상",20~49인
봄,9,60~69%,안개,건축/건축물/교육연구시설,해체 및 철거공사,50억 ~ 100억원 미만,20~49인
봄,10,90% 이상,맑음,건축/건축물/기타,기계설비공사,2억 ~ 3억원 미만,20~49인
봄,10,20~29%,흐림,건축/건축물/운동시설,가설공사,100억 ~ 150억원 미만,20~49인
봄,9,40~49%,강우,건축/건축물/근린생활시설,철근콘크리트공사,20억 ~ 50억원 미만,20~49인
봄,8,10~19%,맑음,건축/건축물/숙박시설,해체 및 철거공사,200억 ~ 300억원 미만,20~49인
봄,15,60~69%,맑음,건축/건축물/문화 및 집회시설,도장공사,100억 ~ 150억원 미만,20~49인
봄,8,40~49%,맑음,토목/도로/도로,기타,200억 ~ 300억원 미만,20~49인
봄,16,90% 이상,맑음,건축/건축물/공동주택,창호 및 유리공사,"1,000억원 이상",20~49인
봄,9,30~39%,맑음,건축/건축물/업무시설,미장공사,50억 ~ 100억원 미만,20~49인
여름,11,20~29%,맑음,건축/건축물/업무시설,전기설비공사,50억 ~ 100억원 미만,20~49인
여름,16,20~29%,맑음,건축/건축물/교정 및 군사시설,철근콘크리트공사,5억 ~ 10억원 미만,20~49인
여름,10,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,50억 ~ 100억원 미만,20~49인
여름,15,50~59%,흐림,건축/건축물/숙박시설,철근콘크리트공사,20억 ~ 50억원 미만,20~49인
여름,10,80~89%,강우,건축/건축물/공동주택,도장공사,150억 ~ 200억원 미만,20~49인
여름,15,70~79%,맑음,토목/상하수도/하수도,해체 및 철거공사,50억 ~ 100억원 미만,20~49인
여름,16,10~19%,맑음,건축/건축물/의료시설,철근콘크리트공사,100억 ~ 150억원 미만,20~49인
가을,13,80~89%,맑음,건축/건축물/문화 및 집회시설,수장공사,"500억 ~ 1,000억원 미만",20~49인
가을,15,70~79%,맑음,건축/건축물/근린생활시설,철근콘크리트공사,10억 ~ 20억원 미만,20~49인
가을,15,20~29%,흐림,건축/건축물/공동주택,해체 및 철거공사,50억 ~ 100억원 미만,20~49인
가을,9,90% 이상,맑음,건축/건축물/위험물 저장 및 처리시설,기타,2억 ~ 3억원 미만,20~49인
가을,9,50~59%,맑음,토목/상하수도/하수도,관공사,"500억 ~ 1,000억원 미만",20~49인
가을,11,20~29%,맑음,건축/건축물/업무시설,기타,50억 ~ 100억원 미만,20~49인
가을,8,20~29%,맑음,건축/건축물/공동주택,미장공사,200억 ~ 300억원 미만,20~49인
가을,9,40~49%,맑음,토목/기타/부지조성,토공사,"1,000억원 이상",20~49인
가을,7,50~59%,맑음,산업환경설비/환경시설/환경오염방지시설,철근콘크리트공사,"500억 ~ 1,000억원 미만",20~49인
nan,13,80~89%,맑음,토목/상하수도/하수도,기타,150억 ~ 200억원 미만,20~49인
nan,8,20~29%,맑음,토목/도로/도로,터널공사,"1,000억원 이상",20~49인
봄,15,60~69%,맑음,산업환경설비/발전시설,기계설비공사,"1,000억원 이상",20~49인
여름,6,70~79%,맑음,산업환경설비/발전시설,산업설비공사,"1,000억원 이상",300~499인
여름,17,10~19%,맑음,건축/건축물/공동주택,가설공사,"1,000억원 이상",300~499인
가을,12,80~89%,맑음,토목/도로/도로,도로 및 포장공사,"1,000억원 이상",300~499인
가을,10,50~59%,흐림,건축/건축물/공동주택,기타,300억 ~ 500억원 미만,300~499인
가을,11,50~59%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",300~499인
가을,11,60~69%,강우,건축/건축물/공동주택,창호 및 유리공사,"1,000억원 이상",300~499인
가을,10,30~39%,흐림,건축/건축물/교육연구시설,가설공사,20억 ~ 50억원 미만,300~499인
가을,16,70~79%,맑음,건축/건축물/의료시설,도장공사,"500억 ~ 1,000억원 미만",300~499인
겨울,14,70~79%,맑음,건축/건축물/업무시설,해체 및 철거공사,"1,000억원 이상",300~499인
겨울,16,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",300~499인
nan,14,20~29%,맑음,건축/건축물/공장,해체 및 철거공사,"500억 ~ 1,000억원 미만",300~499인
nan,16,30~39%,맑음,건축/건축물/공동주택,철근콘크리트공사,"1,000억원 이상",300~499인
봄,16,10% 미만,맑음,건축/건축물/공동주택,기타,"1,000억원 이상",300~499인
봄,15,90% 이상,강우,건축/건축물/숙박시설,수장공사,"1,000억원 이상",300~499인
가을,10,70~79%,맑음,건축/건축물/교정 및 군사시설,철근콘크리트공사,"1,000억원 이상",300~499인
가을,10,70~79%,흐림,건축/건축물/관광 휴게시설,철근콘크리트공사,200억 ~ 300억원 미만,300~499인
nan,9,80~89%,맑음,건축/건축물/공동주택,기계설비공사,"1,000억원 이상",300~499인
봄,8,20~29%,흐림,건축/건축물/공동주택,가설공사,"1,000억원 이상",300~499인
여름,8,80~89%,강우,건축/건축물/공동주택,가설공사,150억 ~ 200억원 미만,50~99인
여름,9,20~29%,맑음,건축/건축물/업무시설,철근콘크리트공사,100억 ~ 150억원 미만,50~99인
여름,9,80~89%,흐림,토목/터널/철도터널,터널공사,"500억 ~ 1,000억원 미만",50~99인
